,Artist,Rank,Song1,Year
566,Brenda Lee,267,Thats All You Gotta Do,1960
567,Dion,268,Little Miss Blue,1960
568,Morris Albert,269,This World Today Is A Mess,1975
569,Billy Joel,270,You're My Home,1973
570,Richard Harris,271,Didn't We,1968
571,Big Bopper,272,Purple People Eater Meets Witch Doctor,1958
572,Buddy Holly,273,Take Your Time,1958
573,The Dell-Vikings,274,How Can I Find True Love,1957
574,The Everly Brothers,275,Claudette,1958
575,Four Seasons,276,Marlena,1963
576,Melissa Manchester,277,We Had This Time,1978
577,Freda Payne,278,The Easiest Way To Fall,1970
578,Jay And The Americans,279,(I'd Kill) For The Love Of A Lady,1969
579,Carpenters,280,All Of My Life,1970
580,Dion And The Belmonts,281,Teen Angel,1958
581,Olivia Newton-John,282,Love Is A Many Splendored Thing (Instrumental),1978
582,"The 4 Seasons Featuring The ""Sound"" Of Frankie Valli",283,Silence Is Golden,1964
583,"Elvis Presley, Scotty And Bill",284,Blue Moon Of Kentucky,1954
584,Tommy James And The Shondells,285,Some Kind Of Love,1968
585,Chicago,286,Poem 58,1969
586,Four Tops,287,I Got A Feeling,1967
587,Petula Clark,288,You'd Better Love Me,1964
588,Otis Redding,289,Sweet Lorene,1968
589,The Righteous Brothers,290,Unchained Melody,1965
590,Marvin Gaye,291,You're What's Happening (In The World Today),1968
591,The Shirelles,292,Look A Here Baby,1959
592,Derek And The Dominos,293,I Am Yours,1971
593,The Beatles,294,If I Fell,1964
594,Barry Manilow,295,One Of These Days,1975
595,Gilbert O'Sullivan,296,Save It,1972
596,The Dave Clark Five,297,I Know You,1963
597,Simon And Garfunkel,298,We've Got A Groovey Thing Goin',1965
598,Neil Sedaka,299,As Long As I Live,1962
599,The Ronettes,300,How Does It Feel?,1964
600,Stevie Wonder,301,For Once In My Life,1968
601,Linda Ronstadt,302,Blue Bayou,1977
602,The Beach Boys,303,"Fun, Fun, Fun",1964
603,Jimmy Clanton And His Rockets,304,You Aim To Please,1958
604,The 5th Dimension,305,Medle,1969
605,Chicago,306,If You Leave Me Now,1976
606,Barry Manilow,307,Somewhere In The Night,1978
607,Neil Sedaka,308,Calendar Girl,1960
608,The Four Seasons,309,"December, 1963 (Oh, What A Night)",1975
609,The Flamingos,310,Lovers Never Say Goodbye,1958
610,"Sammy Davis, Jr.",311,The Candy Man,1971
611,Lesley Gore,312,You Don't Own Me,1963
612,Diana Ross And The Supremes,313,Love Child,1968
613,The Charts,314,Deserie,1957
614,Beach Boys,315,Surfin' Safari,1962
615,James Taylor,316,You've Got A Friend,1971
616,The Beatles,317,Ticket To Ride,1965
617,The Five Satins,318,To The Aisle,1957
618,The Platters,319,Twilight Time,1958
619,Sonny And Cher,320,I Got You Babe,1965
620,? (Question Mark) And The Mysterians,321,96 Tears,1966
621,Roy Orbison,322,Only The Lonely (Know The Way I Feel),1960
622,Barbra Streisand,323,I Am Woman,1964
623,Wings,324,Goodnight Tonight,1979
624,The Beach Boys,325,Sloop John B,1966
625,The Moonglows,326,Sincerely,1954
626,Petula Clark,327,My Love,1965
627,Meat Loaf,328,Two Out Of Three Ain't Bad,1978
628,The Beatles,329,We Can Work It Out,1965
629,Jay And The Americans,330,Dawning,1962
630,The Supremes,331,You Keep Me Hangin' On,1966
631,George Benson,332,This Masquerade,1976
632,Gary Puckett And The Union Gap,333,Lady Willpower,1968
633,Nilsson,334,Without You,1971
634,Lee Andrews And The Hearts,335,Teardrops,1957
635,The Tokens,336,The Lion Sleeps Tonight,1961
636,The Beatles,337,The Long And Winding Road,1970
637,The Supremes,338,I Hear A Symphony,1965
638,The Fascinators,339,Chapel Bells,1958
639,Bobby Rydell,340,Forget Him,1963
640,The McCoys,341,Hang On Sloopy,1965
641,The Coasters,342,Charlie Brown,1959
642,Diana Ross And The Supremes,343,Someday We'll Be Together,1969
643,Barry Manilow,344,Could It Be Magic,1975
644,Los Bravos,345,Black Is Black,1966
645,Bette Midler,346,Do You Want To Dance?,1972
646,Andy Gibb,347,An Everlasting Love,1978
647,Carpenters,348,(They Long To Be) Close To You,1970
648,The Association,349,Everything That Touches You,1968
649,Harvey And The Moonglows,350,Ten Commandments Of Love,1958
650,Stevie Wonder,301,Angie Girl,1968
651,Linda Ronstadt,302,Old Paint,1977
652,The Beach Boys,303,Why Do Fools Fall In Love,1964
653,Jimmy Clanton And His Rockets,304,Just A Dream,1958
654,The 5th Dimension,305,Aquarius / Let The Sunshine In (The Flesh Failures)B,1969
655,Chicago,306,Together Again,1976
656,Barry Manilow,307,Leavin' In The Morning,1978
657,Neil Sedaka,308,The Same Old Fool,1960
658,The Four Seasons,309,Slip Away,1975
659,The Flamingos,310,That Love Is You,1958
660,"Sammy Davis, Jr.",311,I Want To Be Happy,1971
661,Lesley Gore,312,"Run Bobby, Run",1963
662,Diana Ross And The Supremes,313,Will This Be The Day,1968
663,The Charts,314,Zoop,1957
664,Beach Boys,315,409,1962
665,James Taylor,316,You Can Close Your Eyes,1971
666,The Beatles,317,Yes It Is,1965
667,The Five Satins,318,Wish I Had My Baby,1957
668,The Platters,319,Out Of My Mind,1958
669,Sonny And Cher,320,It's Gonna Rain,1965
670,? (Question Mark) And The Mysterians,321,Midnight Hour,1966
671,Roy Orbison,322,Here Comes That Song Again,1960
672,Barbra Streisand,323,People,1964
673,Wings,324,Daytime Nightime Suffering,1979
674,The Beach Boys,325,You're So Good To Me,1966
675,The Moonglows,326,Tempting,1954
676,Petula Clark,327,Where Am I Going,1965
677,Meat Loaf,328,For Crying Out Loud,1978
678,The Beatles,329,Day Tripper,1965
679,Jay And The Americans,330,She Cried,1962
680,The Supremes,331,Remove This Doubt,1966
681,George Benson,332,Lady,1976
682,Gary Puckett And The Union Gap,333,Daylight Stranger,1968
683,Nilsson,334,Gotta Get Up,1971
684,Lee Andrews And The Hearts,335,The Girl Around The Corner,1957
685,The Tokens,336,Tina,1961
686,The Beatles,337,For You Blue,1970
687,The Supremes,338,Who Could Ever Doubt My Love,1965
688,The Fascinators,339,I Wonder Who,1958
689,Bobby Rydell,340,"Love, Love Go Away",1963
690,The McCoys,341,I Can't Explain It,1965
691,The Coasters,342,Three Cool Cats,1959
692,Diana Ross And The Supremes,343,He's My Sunny Boy,1969
693,Barry Manilow,344,I Am Your Child,1975
694,Los Bravos,345,I Want A Name,1966
695,Bette Midler,346,Superstar,1972
696,Andy Gibb,347,Flowing Rivers,1978
697,Carpenters,348,I Kept On Loving You,1970
698,The Association,349,We Love Us,1968
699,Harvey And The Moonglows,350,Mean Old Blues,1958
700,Petula Clark,351,This Is My Song,1967
701,Stevie Wonder,352,I Don't Know Why I Love You,1969
702,The Rolling Stones,353,Get Off Of My Cloud,1965
703,The Righteous Brothers,354,(You're My) Soul And Inspiration,1966
704,Four Tops,355,I Can't Help Myself,1965
705,"John Travolta, Olivia Newton-John And Cast",356,Summer NightsLouis St. Louis,1978
706,Barbara George,357,I Know (You Don't Love Me No More),1961
707,The Paris Sisters,358,I Love How You Love Me,1961
708,The 4 Seasons,359,C'mon Marianne,1967
709,Alicia Bridges,360,I Love The Nightlife (Disco 'Round),1978
710,Kenny Nolan,361,I Like Dreamin',1976
711,Dusty Springfield,362,I Only Want To Be With You,1963
712,The Drifters,363,On Broadway,1963
713,Mary Wells,364,My Guy,1964
714,Little Anthony And The Imperials,365,Goin' Out Of My Head,1964
715,Zager And Evans,366,In The Year 2525 (Exordium & Terminus),1969
716,The Angels,367,My Boyfriend's Back,1963
717,Neil Diamond,368,Kentucky Woman,1967
718,Wilbert Harrison,369,Kansas City,1959
719,Bobby Goldsboro,370,Honey,1968
720,Patience And Prudence,371,Gonna Get Along Without Ya Now,1956
721,The Channels,372,The Closer You Are,1956
722,Jerry Lee Lewis And His Pumping Piano,373,Great Balls Of Fire,1957
723,Roy Orbison,374,Crying,1961
724,The Crystals,375,He's A Rebel,1962
725,The Mama's And The Papa's,376,California Dreamin',1965
726,Buddy Holly,377,Heartbeat,1958
727,Jackie Wilson,378,(Your Love Keeps Lifting Me) Higher And Higher,1967
728,Neil Diamond,379,I Am... I Said,1971
729,B. J. Thomas,380,Hooked On A Feeling,1968
730,Eagles,381,Hotel California,1977
731,Marcie Blane,382,Bobby's Girl,1962
732,Carly Simon,383,Haven't Got Time For The Pain,1974
733,Elvis Presley,384,All Shook Up,1957
734,Kansas,385,Dust In The Wind,1978
735,The Crests,386,The Angels Listened In,1959
736,Tommy James And The Shondells,387,I Think We're Alone Now,1967
737,The Beach Boys,388,Be True To Your School,1963
738,The 4 Seasons,389,"Bye, Bye, Baby (Baby, Goodbye)",1965
739,Johnny Mathis,390,It's Not For Me To Say,1957
740,The Dubs,391,Chapel Of Dreams,1959
741,Neil Diamond,392,Brother Love's Travelling Salvation Show,1969
742,The Young Rascals,393,Groovin',1967
743,The Monotones,394,Book Of Love,1958
744,The Beach Boys,395,I Get Around,1964
745,Soul Survivors,396,Expressway To Your Heart,1967
746,The Fireflies,397,You Were Mine,1959
747,Ernie K-Doe,398,Mother-In-Law,1961
748,Bobby Vinton,399,There! I've Said It Again,1963
749,Classics IV Featuring Dennis Yost,400,Traces,1969
750,Petula Clark,351,High,1967
751,Stevie Wonder,352,My Cherie Amour,1969
752,The Rolling Stones,353,I'm Free,1965
753,The Righteous Brothers,354,B Side Blues,1966
754,Four Tops,355,Sad Souvenirs,1965
755,"John Travolta, Olivia Newton-John And Cast",356,Rock 'n' Roll Party Queen,1978
756,Barbara George,357,Love (Is Just A Chance You Take),1961
757,The Paris Sisters,358,All Through The Night,1961
758,The 4 Seasons,359,Let's Ride Again,1967
759,Alicia Bridges,360,Self Applause,1978
760,Kenny Nolan,361,Time Ain't Time Enough,1976
761,Dusty Springfield,362,Once Upon A Time,1963
762,The Drifters,363,Let The Music Play,1963
763,Mary Wells,364,Oh Little Boy (What Did You Do To Me),1964
764,Little Anthony And The Imperials,365,Make It Easy On Yourself,1964
765,Zager And Evans,366,Little Kids,1969
766,The Angels,367,(Love Me) Now,1963
767,Neil Diamond,368,The Time Is Now,1967
768,Wilbert Harrison,369,"Listen, My Darling",1959
769,Bobby Goldsboro,370,Danny,1968
770,Patience And Prudence,371,The Money Tree,1956
771,The Channels,372,Now You Know (I Love You So),1956
772,Jerry Lee Lewis And His Pumping Piano,373,You Win Again,1957
773,Roy Orbison,374,Candy Man,1961
774,The Crystals,375,I Love You Eddie,1962
775,The Mama's And The Papa's,376,Somebody Groovy,1965
776,Buddy Holly,377,Well....All Right,1958
777,Jackie Wilson,378,I'm The One To Do It,1967
778,Neil Diamond,379,Done Too Soon,1971
779,B. J. Thomas,380,I've Been Down This Road Before,1968
780,Eagles,381,Pretty Maids All In A Row,1977
781,Marcie Blane,382,A Time To Dream,1962
782,Carly Simon,383,Mind On My Man,1974
783,Elvis Presley,384,That's When Your Heartaches Begin,1957
784,Kansas,385,Paradox,1978
785,The Crests,386,I Thank The Moon,1959
786,Tommy James And The Shondells,387,"Gone, Gone, Gone.",1967
787,The Beach Boys,388,In My Room,1963
788,The 4 Seasons,389,Searching Wind,1965
789,Johnny Mathis,390,Warm and Tender,1957
790,The Dubs,391,Is There A Love For Me,1959
791,Neil Diamond,392,A Modern Day Version Of Love,1969
792,The Young Rascals,393,Sueño,1967
793,The Monotones,394,You Never Loved Me,1958
794,The Beach Boys,395,Don't Worry Baby,1964
795,Soul Survivors,396,Hey Gyp,1967
796,The Fireflies,397,Stella Got A Fella,1959
797,Ernie K-Doe,398,"Wanted, $10,000.00 Reward",1961
798,Bobby Vinton,399,The Girl With The Bow In Her Hair,1963
799,Classics IV Featuring Dennis Yost,400,"Mary, Mary Row Your Boat",1969
800,The Everly Brothers,401,Wake Up Little Susie,1957
801,Ed Townsend,402,For Your Love,1958
802,Diana Ross,403,Touch Me In The Morning,1973
803,The Supremes,404,Stoned Love,1970
804,Billy Joel,405,Movin' Out (Anthony's Song),1978
805,The Vogues,406,"Turn Around, Look At Me",1968
806,Paul Anka,407,(All Of A Sudden) My Heart Sings,1958
807,Barry White,408,"You're The First, The Last, My Everything",1974
808,Simon And Garfunkel,409,Scarborough Fair (/Canticle),1968
809,George Harrison,410,My Sweet Lord,1970
810,The Supremes,411,My World Is Empty Without You,1965
811,Judy Collins,412,Send In The Clowns,1975
812,The Teddy Bears,413,"To Know Him, Is To Love Him",1958
813,The Beatles,414,She Loves You,1964
814,Rod Stewart,415,Tonight's The Night (Gonna Be Alright),1976
815,The Coasters,416,Searchin',1957
816,The 4 Seasons,417,Big Man In Town,1964
817,America,418,Sister Golden Hair,1975
818,Neil Diamond,419,Shilo,1970
819,Bee Gees,420,Stayin' Alive,1977
820,Glen Campbell,421,Southern Nights,1977
821,The Lovin' Spoonful,422,Summer In The City,1966
822,Bobby Hebb,423,Sunny,1966
823,The Walker Bros.,424,The Sun Ain't Gonna Shine (Anymore),1966
824,Chuck Berry,425,Sweet Little Sixteen,1958
825,Barry Manilow,426,Ready To Take A Chance Again,1978
826,The Corsairs,427,Smoky Places,1961
827,Freddy Cannon,428,Palisades Park,1962
828,Bobby Vee,429,Run To Him,1961
829,The Drifters,430,Save The Last Dance For Me,1960
830,Little Joe And The Thrillers,431,Peanuts,1957
831,Steve Lawrence,432,Portrait Of My Love,1960
832,Cat Stevens,433,Peace Train,1971
833,Anne Murray,434,Danny's Song,1972
834,Creedence Clearwater Revival,435,Proud Mary,1968
835,Bee Gees,436,Night Fever,1980
836,Lou Rawls,437,You'll Never Find Another Love Like Mine,1976
837,The 4 Seasons,438,Walk Like A Man,1963
838,Ricky Nelson,439,Travelin' Man,1961
839,The Blackbyrds,440,Walking In Rhythm,1975
840,Jimmy Ruffin,441,What Becomes Of The Brokenhearted,1966
841,The Turtles,442,Happy Together,1967
842,Janis Ian,443,Society's Child (Baby I've Been Thinking),1966
843,The Dubs,444,Don't Ask Me (To Be Lonely),1957
844,David Soul,445,Don't Give Up On Us,1976
845,Billy Joe Royal,446,Down In The Boondocks,1965
846,The Rolling Stones,447,Angie,1973
847,Sam The Sham And The Pharaohs,448,Wooly Bully,1965
848,The Union Gap Featuring Gary Puckett,449,"Woman, Woman",1967
849,The Hollies,450,The Air That I Breathe,1974
850,The Everly Brothers,401,Maybe Tomorrow,1957
851,Ed Townsend,402,Over And Over Again,1958
852,Diana Ross,403,I Won't Last A Day Without You,1973
853,The Supremes,404,Shine On Me,1970
854,Billy Joel,405,Everybody Has A Dream,1978
855,The Vogues,406,Then,1968
856,Paul Anka,407,That's Love,1958
857,Barry White,408,"More Than Anything, You're My Everything",1974
858,Simon And Garfunkel,409,April Come She Will,1968
859,George Harrison,410,Isn't It A Pity,1970
860,The Supremes,411,Everything Is Good About You,1965
861,Judy Collins,412,Houses,1975
862,The Teddy Bears,413,Don't You Worry My Little Pet,1958
863,The Beatles,414,I'll Get You,1964
864,Rod Stewart,415,Fool For You,1976
865,The Coasters,416,Young Blood,1957
866,The 4 Seasons,417,Little Angel,1964
867,America,418,Midnight,1975
868,Neil Diamond,419,La Bamba,1970
869,Bee Gees,420,If I Can't Have You,1977
870,Glen Campbell,421,William Tell Overture,1977
871,The Lovin' Spoonful,422,Butchie's Tune,1966
872,Bobby Hebb,423,Bread,1966
873,The Walker Bros.,424,After The Lights Go Out,1966
874,Chuck Berry,425,Reelin And Rocking,1958
875,Barry Manilow,426,Sweet Life,1978
876,The Corsairs,427,Thinkin' (Maybe She's Changed Her Ways),1961
877,Freddy Cannon,428,"June, July, And August",1962
878,Bobby Vee,429,Walkin' With My Angel,1961
879,The Drifters,430,Nobody But Me,1960
880,Little Joe And The Thrillers,431,Lilly Lou,1957
881,Steve Lawrence,432,Oh How You Lied,1960
882,Cat Stevens,433,Where Do The Children Play,1971
883,Anne Murray,434,Drown Me,1972
884,Creedence Clearwater Revival,435,Born On The Bayou,1968
885,Bee Gees,436,More Than A Woman,1980
886,Lou Rawls,437,Let's Fall In Love All Over Again,1976
887,The 4 Seasons,438,Lucky Ladybug,1963
888,Ricky Nelson,439,Hello Mary Lou,1961
889,The Blackbyrds,440,The Baby,1975
890,Jimmy Ruffin,441,Baby I've Got It,1966
891,The Turtles,442,Like The Seasons,1967
892,Janis Ian,443,Letter To Jon,1966
893,The Dubs,444,Darling,1957
894,David Soul,445,Black Bean Soup,1976
895,Billy Joe Royal,446,"Oh, What A Night",1965
896,The Rolling Stones,447,Silver Train,1973
897,Sam The Sham And The Pharaohs,448,Ain't Gonna Move,1965
898,The Union Gap Featuring Gary Puckett,449,Don't Make Promises,1967
899,The Hollies,450,No More Riders,1974
900,Fats Domino,451,Whole Lotta Loving,1958
901,Don McLean,452,Vincent,1972
902,Ray Charles And His Orchestra,453,What'd I Say (Part 1),1959
903,Little Caesar And The Romans,454,Those Oldies But Goodies (Remind Me Of You)The Romans,1961
904,Paul Mauriat And His Orchestra,455,Love Is Blue (L'Amour Est Bleu),1967
905,Cozy Cole,456,Topsy I,1958
906,"Elvis PresleyELVIS, Volume 1A",457,Rip It UpA,1956
907,Love Unlimited Orchestra,458,Love's Theme,1973
908,Rod Stewart,459,Reason To Believe,1971
909,Andy Gibb,460,Shadow Dancing,1978
910,The Flying Machine,461,Smile A Little Smile For Me,1969
911,Patty And The Emblems,462,"Mixed-Up, Shook-Up, Girl",1964
912,Elvis Presley With The Jordanaires,463,Wear My Ring Around Your Neck,1958
913,Maurice Williams And The Zodiacs,464,Stay,1960
914,Jackie Wilson,465,That's Why (I Love You So),1959
915,The Crystals,466,Then He Kissed Me,1963
916,The Supremes,467,Stop! In The Name Of Love,1965
917,Suzi Quatro And Chris Norman,468,Stumblin' In,1979
918,The Young Rascals,469,How Can I Be Sure,1967
919,Gary Lewis And The Playboys,470,This Diamond Ring,1964
920,Little Richard And His Band,471,Rip It Up,1956
921,Paul Anka,472,Lonely Boy,1959
922,Barbra Streisand,473,Stoney End,1970
923,Johnny Mathis,474,Misty,1959
924,The Hues Corporation,475,Rock The Boat,1974
925,Frankie Valli,476,My Eyes Adored You,1974
926,Chuck Berry And His Combo,477,Roll Over Beethoven,1956
927,Paul McCartney And Wings,478,My Love,1973
928,The Coasters,479,Poison Ivy,1959
929,Ricky Nelson,480,Poor Little Fool,1958
930,The Shields,481,You Cheated,1958
931,Johnny Ace,482,Pledging My Love,1954
932,"Peter, Paul And Mary",483,Puff,1963
933,Roberta Flack,484,Killing Me Softly With His Song,1973
934,Chuck Mangione,485,Feels So Good,1978
935,Paper Lace,486,The Night Chicago Died,1974
936,Dion,487,Love Came To Me,1962
937,Captain And Tennille,488,Lonely Night (Angel Face),1976
938,The Hollies,489,Long Cool Woman (In A Black Dress),1972
939,Chubby Checker,490,Let's Twist Again,1961
940,Don And Juan,491,What's Your Name,1961
941,Jan And Dean,492,Baby Talk,1959
942,Connie Francis,493,Where The Boys Are,1961
943,Shirley And Lee,494,Let The Good Times Roll,1956
